2013-09-15 08:44:29,105 [Start Help Server] INFO  org.mortbay.log - Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
2013-09-15 08:44:29,323 [Start Help Server] INFO  org.mortbay.log - jetty-6.1.x
2013-09-15 08:44:29,385 [Start Help Server] INFO  org.mortbay.log - Started SelectChannelConnector@127.0.0.1:49340
2014-03-29 07:27:34,889 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BinarySearch:BinarySearch:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\BinarySearch\pom.xml.
2014-03-29 07:27:35,883 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:35,884 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\BinarySearch\src\main\resources
2014-03-29 07:27:35,886 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:35,886 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\BinarySearch\src\test\resources
2014-03-29 07:27:35,927 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iliev.peter.kata:BubbleSort:1.0 @ C:\Users\Admin\Documents\GitHub\kata\BubbleSort\pom.xml.
2014-03-29 07:27:36,270 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:36,270 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\BubbleSort\src\main\resources
2014-03-29 07:27:36,271 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:36,272 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\BubbleSort\src\test\resources
2014-03-29 07:27:36,310 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BucketSort:BucketSort:0.0.1-SNAPSHOT @ C:\Users\Admin\Documents\GitHub\kata\BucketSort\pom.xml.
2014-03-29 07:27:36,619 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 07:27:36,619 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\Documents\GitHub\kata\BucketSort\src\main\resources
